feature,mean,std
temp_avg,7.210143679402284,2.514610130791064
temp_max,8.169319145137287,3.2667131786508397
temp_min,6.52021572185274,2.0730028316217637
temp_rate,0.28206878182981404,0.2627670611578038
time_outside_range_sec,147.21809880954737,174.66278769741658
humidity_avg,62.26162833872692,7.22109865889502
humidity_variance,3.2756773968919286,1.5889517152249137
humidity_spike_count,1.4828205128205127,1.1103070693718802
door_open_count,2.3317948717948718,2.0804743933805487
door_open_duration_sec,105.82641017678077,116.31736775857557
max_door_open_time_sec,92.49841649517982,105.98429660855247
